,age,csp,gen,td1,td2,td3,td4,s_p_ms_1,s_p_ms_2,s_p_ms_3,s_p_ms_4,s_p_ms_5,s_p_ms_6,s_p_ms_7,s_p_ms_8,s_p_ms_9,s_p_mm_1,s_p_mm_2,s_p_mm_3,s_p_mm_4,s_p_ss_1,s_p_ss_2,s_p_ss_3,s_p_ss_4,s_v_ms_1,s_v_ms_2,s_v_ms_3,s_v_ms_4,s_v_ms_5,s_v_ms_6,s_v_ms_7,s_v_ms_8,s_v_ms_9,s_v_mm_1,s_v_mm_2,s_v_mm_3,s_v_mm_4,s_v_ss_1,s_v_ss_2,s_v_ss_3,s_v_ss_4,n_p_ms_1,n_p_ms_2,n_p_ms_3,n_p_ms_4,n_p_ms_5,n_p_ms_6,n_p_ms_7,n_p_ms_8,n_p_ms_9,n_p_mm_1,n_p_mm_2,n_p_mm_3,n_p_mm_4,n_p_ss_1,n_p_ss_2,n_p_ss_3,n_p_ss_4,n_v_ms_1,n_v_ms_2,n_v_ms_3,n_v_ms_4,n_v_ms_5,n_v_ms_6,n_v_ms_7,n_v_ms_8,n_v_ms_9,n_v_mm_1,n_v_mm_2,n_v_mm_3,n_v_mm_4,n_v_ss_1,n_v_ss_2,n_v_ss_3,n_v_ss_4
89,18-25 ans,"Élèves, étudiants",Femme,153,38,172,47,2,1,2,3,2,3,2,1,3,3,1,1,1,3,1,1,2,2,2,1,1,3,2,2,2,3,3,2,2,2,2,3,1,1,-1,1,-1,0,0,1,-1,0,0,0,-1,1,-1,0,0,0,0,-1,1,-1,1,0,0,0,0,0,1,-1,0,0,0,1,0,0
90,18-25 ans,"Élèves, étudiants",Femme,78,34,24,37,1,1,2,2,1,2,1,3,2,2,2,1,2,3,1,1,1,1,1,2,2,2,3,2,1,3,2,1,2,3,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,0,-1,0,1,-1,1,-1,-1,1,-1,1,-1,1
91,18-25 ans,"Élèves, étudiants",Homme,25,55,28,33,3,1,1,1,1,1,1,2,1,2,2,2,3,2,2,2,1,2,2,2,3,1,3,2,2,1,1,3,2,2,2,2,2,1,-1,1,1,-1,-1,1,-1,0,-1,0,0,0,-1,1,-1,0,-1,0,-1,0,1,-1,0,0,-1,1,-1,1,-1,-1,-1,0,0,0
92,18-25 ans,"Élèves, étudiants",Femme,86,42,106,24,1,3,1,3,2,3,2,2,3,2,2,1,0,2,1,1,1,2,1,3,3,1,3,2,3,3,3,2,2,1,2,3,2,1,-1,-1,1,0,-1,1,-1,1,-1,-1,1,0,0,0,-1,0,0,-1,0,0,1,-1,-1,1,1,0,-1,1,-1,1,0,1,0,1
93,18-25 ans,"Élèves, étudiants",Femme,63,22,47,11,1,2,1,3,2,1,2,2,1,3,2,1,2,3,1,1,1,1,2,2,1,2,2,1,3,2,3,1,3,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,18-25 ans,"Élèves, étudiants",Femme,206,176,139,38,2,1,2,3,1,3,1,3,1,3,1,2,2,1,2,2,2,1,2,3,3,2,3,3,3,3,3,1,2,1,3,2,2,2,-1,1,0,1,-1,1,-1,1,1,-1,1,0,0,1,0,0,1,0,1,1,-1,1,0,0,0,0,1,-1,1,0,1,-1,0,0
95,18-25 ans,"Élèves, étudiants",Femme,104,141,42,17,2,1,2,3,1,3,2,3,2,3,1,2,1,3,2,1,1,2,1,2,3,2,2,3,3,2,3,2,2,1,3,2,1,2,1,0,-1,1,-1,1,-1,1,-1,1,0,0,0,-1,0,0,0,0,0,-1,1,0,0,0,-1,0,0,0,0,-1,-1,1,0,-1
96,18-25 ans,"Élèves, étudiants",Femme,90,100,44,45,1,1,1,2,1,2,1,3,3,2,1,1,2,2,1,1,0,2,3,2,3,1,3,2,1,3,2,3,3,2,2,3,2,2,1,1,-1,1,-1,0,-1,1,-1,1,0,-1,1,-1,1,-1,0,-1,1,-1,0,1,-1,1,0,0,1,-1,0,1,0,1,0,0
97,18-25 ans,"Élèves, étudiants",Femme,219,62,130,50,1,2,2,3,1,3,2,3,1,3,1,2,1,2,2,1,2,2,2,1,3,1,3,2,3,1,2,2,3,2,2,3,1,2,1,1,-1,0,-1,1,-1,0,1,1,-1,1,-1,-1,-1,1,1,1,0,-1,1,0,-1,1,0,0,1,1,-1,1,-1,1,0,0
98,18-25 ans,"Élèves, étudiants",Femme,114,70,68,39,2,1,1,3,2,3,1,3,1,3,2,1,2,2,1,2,2,2,2,2,3,2,3,1,3,3,3,1,1,2,2,1,2,2,-1,-1,0,1,0,-1,0,1,0,-1,1,-1,1,-1,1,-1,1,1,-1,0,0,-1,1,-1,1,-1,0,0,0,1,-1,-1,0,0
