,i_p,notes_p,score_p,i_v,notes_v,score_v
57,8,5,5,4,4,1
57,6,5,3,2,4,2
57,10,4,4,5,4,2
57,5,4,3,9,3,7
57,1,3,0,6,4,5
57,2,3,7,3,5,7
57,9,3,5,1,3,1
57,3,2,2,8,5,5
57,6,5,7,2,4,2
57,5,4,2,9,3,4
57,7,5,3,10,2,5
57,4,2,7,7,5,7
57,8,5,2,4,4,4
57,10,4,7,5,4,7
57,1,3,0,6,4,5
58,5,3,4,1,3,6
58,9,3,5,5,5,4
58,3,3,2,3,5,7
58,6,3,1,8,5,5
58,4,4,6,2,3,7
58,10,2,7,7,4,2
58,2,2,5,6,4,5
58,7,4,5,10,4,4
58,1,2,6,9,3,4
58,8,4,1,4,5,5
58,5,3,6,1,3,7
58,3,3,4,3,5,4
58,4,4,2,2,3,6
58,2,2,0,6,4,7
58,1,2,7,9,3,2
58,9,3,3,5,5,3
58,6,3,3,8,5,4
58,10,2,1,7,4,5
58,7,4,4,10,4,4
58,8,4,1,4,5,5
59,5,4,4,9,4,5
59,9,4,5,8,5,4
59,3,3,3,7,4,7
59,8,5,6,4,4,6
59,2,3,7,6,3,5
59,10,3,7,3,4,4
59,1,3,5,2,4,2
59,7,5,3,5,3,1
59,4,4,1,10,5,6
59,6,5,7,1,4,7
59,5,4,6,9,4,6
59,3,3,0,7,4,2
59,2,3,0,6,3,6
59,1,3,2,2,4,4
59,4,4,6,10,5,6
59,9,4,2,8,5,7
59,8,5,2,4,4,4
59,10,3,1,3,4,4
59,7,5,6,5,3,6
59,6,5,7,1,4,7
60,5,4,2,6,4,4
60,7,4,1,8,4,7
60,10,4,2,3,4,3
60,8,4,6,7,5,5
60,2,3,4,10,3,6
60,6,5,3,1,3,7
60,9,3,6,9,3,4
60,4,3,4,4,4,1
60,3,2,1,2,4,2
60,1,3,3,5,5,7
60,5,4,4,6,4,5
60,10,4,7,3,4,2
60,2,3,7,10,3,4
60,9,3,5,9,3,2
60,3,2,7,2,4,5
60,7,4,4,8,4,4
60,8,4,5,7,5,4
60,6,5,1,1,3,5
60,4,3,2,4,4,4
60,1,3,3,5,5,7
61,2,3,6,6,3,4
61,8,4,3,8,3,5
61,3,4,5,2,4,2
61,10,3,4,9,4,6
61,5,3,4,7,3,4
61,9,4,1,1,4,5
61,7,4,5,4,4,4
61,1,3,2,5,3,4
61,4,3,1,3,4,2
61,6,3,4,10,3,5
61,2,3,0,6,3,6
61,3,4,6,2,4,7
61,5,3,2,7,3,7
61,7,4,3,4,4,4
61,4,3,7,3,4,7
61,8,4,2,8,3,5
61,10,3,0,9,4,7
61,9,4,7,1,4,6
61,1,3,4,5,3,1
61,6,3,4,10,3,5
62,6,4,2,8,3,4
62,3,4,6,6,4,4
62,5,4,4,1,3,6
62,10,4,7,10,2,4
62,2,4,5,2,3,2
62,7,4,3,5,4,2
62,4,4,6,9,4,4
62,9,4,7,4,3,4
62,1,4,6,3,3,3
62,8,4,5,7,4,4
62,6,4,7,8,3,1
62,5,4,3,1,3,7
62,2,4,2,2,3,2
62,4,4,2,9,4,1
62,1,4,1,3,3,5
62,3,4,5,6,4,5
62,10,4,1,10,2,1
62,7,4,1,5,4,4
62,9,4,2,4,3,7
62,8,4,5,7,4,4
63,2,2,6,5,3,2
63,8,3,3,2,5,7
63,3,3,5,1,3,1
63,9,2,3,8,4,4
63,6,2,1,7,4,7
63,4,4,2,4,4,4
63,1,2,5,3,4,1
63,7,3,1,9,3,4
63,10,2,4,10,4,5
63,5,4,3,6,3,7
63,2,2,0,5,3,6
63,3,3,2,1,3,4
63,6,2,4,7,4,3
63,1,2,7,3,4,2
63,10,2,2,10,4,4
63,8,3,2,2,5,5
63,9,2,6,8,4,7
63,4,4,3,4,4,4
63,7,3,2,9,3,7
63,5,4,3,6,3,7
64,1,4,6,9,4,4
64,8,2,7,4,3,1
64,4,4,6,2,3,7
64,10,1,5,7,3,2
64,3,5,0,6,4,4
64,2,4,3,8,4,1
64,5,4,2,1,4,6
64,7,2,1,5,4,1
64,9,1,3,10,4,2
64,6,2,4,3,3,1
64,1,4,2,9,4,2
64,4,4,4,2,3,6
64,3,5,6,6,4,4
64,5,4,4,1,4,6
64,9,1,2,10,4,4
64,8,2,2,4,3,7
64,10,1,7,7,3,4
64,2,4,5,8,4,3
64,7,2,6,5,4,4
64,6,2,4,3,3,1
65,9,5,6,4,1,7
65,4,1,5,7,5,6
65,5,1,1,9,3,7
65,8,5,2,6,5,6
65,10,4,7,2,1,2
65,1,1,1,5,5,6
65,3,1,7,1,1,1
65,7,5,6,8,3,7
65,6,4,4,3,1,2
65,2,1,7,10,3,4
65,9,5,4,4,1,4
65,5,1,4,9,3,2
65,10,4,5,2,1,7
65,3,1,2,1,1,7
65,6,4,1,3,1,3
65,4,1,7,7,5,2
65,8,5,6,6,5,7
65,1,1,5,5,5,3
65,7,5,5,8,3,6
65,2,1,7,10,3,4
66,2,5,7,6,1,4
66,9,2,2,8,5,7
66,8,1,3,3,3,1
66,3,5,4,9,5,6
66,4,3,6,7,1,7
66,10,2,7,4,3,5
66,1,5,5,1,2,6
66,7,1,6,10,5,4
66,6,1,7,2,3,2
66,5,3,3,5,1,7
